HLA-DRB1	
03:01	16:02
07:01	15:01
01:02	14:54
11:01	13:02
13:04	15:03
04:01	07:01
08:02	11:01
07:01	07:01
03:01	15:01
07:01	09:01
13:02	13:02
11:01	14:54
04:01	12:01
01:02	04:01
15:01	15:03
08:04	13:01
04:01	15:01
01:02	08:01
07:01	15:01
07:01	08:01
03:01	15:01
01:01	09:01
14:54	15:01
13:01	13:01
03:01	04:03
04:01	13:01
11:04	15:03
03:01	11:01
13:02	15:03
11:01	13:03
10:01	11:01
07:01	12:01
04:06	08:03
01:01	04:07
11:01	16:02
03:02	11:01
04:11	11:01
01:01	15:01
04:01	16:02
01:02	13:01
04:01	15:03
03:01	16:01
01:03	13:01
04:01	11:01
04:05	15:03
04:01	16:01
03:01	13:01
07:01	07:01
04:05	09:01
11:01	15:03
11:01	15:03
15:01	15:01
04:05	13:02
04:01	15:03
11:04	13:01
04:04	15:01
04:140	11:03
01:11	03:01
03:02	13:02
01:02	13:03
09:01	13:02
11:02	13:02
01:02	13:03
03:01	14:02
01:01	09:01
11:02	13:01
13:01	15:03
08:01	15:01
03:01	04:01
04:01	12:01
15:01	15:01
03:02	11:01
11:01	13:02
11:02	13:01
01:01	15:01
01:02	09:01
15:01	15:01
11:01	15:01
03:01	12:02
03:01	11:04
03:02	15:03
04:04	15:01
04:05	14:54
04:01	12:01
04:04	11:01
04:04	13:01
07:01	15:03
04:04	11:04
03:01	04:01
07:01	15:01
03:02	15:03
13:02	14:54
04:04	16:02
11:04	14:06
07:01	11:01
01:01	07:01
13:02	15:02
04:01	11:01
03:02	07:01
07:01	15:01
04:04	07:01
07:01	13:03
04:01	11:01
01:02	04:05
03:01	03:02
07:01	11:04
03:02	11:01
12:01	15:01
15:02	15:03
12:01	13:02
11:01	15:03
03:01	15:01
07:01	11:01
13:01	13:01
03:01	15:03
11:01	13:02
09:01	13:01
03:02	13:04
07:01	13:01
13:02	15:03
15:03	15:03
03:02	09:01
01:02	03:01
15:01	15:03
09:01	15:03
03:02	15:03
03:01	14:54
12:01	14:04
07:01	11:03
11:01	13:03
03:02	13:03
04:01	13:01
07:01	11:04
01:02	13:01
11:01	13:01
08:03	11:01
15:01	15:01
07:01	12:01
03:01	07:01
09:01	11:02
03:02	03:02
11:02	13:02
07:01	11:01
03:01	03:01
10:01	13:04
04:01	11:01
09:01	11:01
01:02	11:01
03:01	12:01
03:02	13:02
11:01	13:02
03:01	13:02
09:01	15:03
03:01	07:01
09:01	12:02
08:04	11:01
09:01	13:04
07:01	13:02
03:01	11:02
13:01	15:02
07:01	13:01
09:01	15:01
01:02	08:04
01:02	04:07
07:01	15:03
11:01	16:01
08:04	11:02
04:01	13:03
03:81	11:02
01:02	13:02
07:01	08:04
04:01	13:01
03:02	12:01
13:01	15:01
03:01	14:54
07:01	08:04
14:02	16:02
07:01	15:01
03:01	04:01
03:02	03:02
03:01	15:03
03:02	13:01
10:01	11:01
03:01	10:01
03:01	04:04
11:01	15:03
11:02	15:03
04:01	08:04
10:01	13:01
03:02	13:03
13:02	15:03
08:04	15:01
11:01	11:02
11:01	15:03
01:02	09:01
01:01	15:01
09:01	14:54
03:02	08:02
01:02	04:01
08:04	15:01
01:02	13:02
09:01	13:01
15:03	15:03
01:02	04:01
01:02	08:04
03:02	14:54
09:01	16:01
15:01	16:01
03:01	13:01
11:01	13:01
13:01	15:03
04:01	07:01
08:04	15:03
13:02	13:04
03:02	03:02
03:01	03:02
04:01	13:02
09:01	11:01
15:02	15:03
13:01	13:03
08:04	11:01
03:02	15:03
07:01	16:02
04:07	16:02
09:01	12:01
13:01	16:02
04:07	15:01
04:01	12:01
04:01	15:01
07:01	12:01
13:02	13:03
13:02	13:03
11:01	13:03
11:01	15:03
09:01	13:01
15:03	16:02
01:01	13:03
03:01	13:01
01:01	15:03
03:05	04:01
01:02	13:04
01:02	15:03
11:01	15:03
04:04	15:02
07:01	13:02
07:01	11:02
03:01	09:01
04:02	13:02
08:04	08:04
03:01	04:04
03:01	03:02
12:01	13:03
04:01	04:05
12:01	15:03
03:01	04:04
01:02	11:01
03:05	15:03
13:04	15:01
08:04	15:03
08:04	15:03
01:02	08:01
15:03	16:02
01:01	11:01
04:01	11:01
10:01	13:03
11:04	13:01
11:02	13:02
03:01	10:01
03:01	11:01
03:02	12:01
13:01	15:03
04:01	11:01
07:01	13:02
08:04	15:03
03:01	13:02
13:03	15:03
12:01	13:02
09:01	11:01
12:01	12:01
04:04	13:03
03:02	11:01
03:01	04:04
01:01	13:02
11:02	15:03
03:01	07:01
01:01	14:06
