HLA-DRB1	
03:02	15:03
03:01	03:01
07:01	09:01
01:01	15:01
13:01	13:01
04:04	15:01
09:01	15:03
07:01	11:01
07:01	11:01
13:01	15:01
04:05	15:02
03:01	14:54
03:01	09:01
04:04	15:01
01:11	11:01
04:01	14:54
11:01	13:03
07:01	11:01
04:05	11:01
04:08	16:01
13:01	13:02
04:01	13:01
03:01	15:01
01:02	13:02
08:04	13:04
14:54	15:02
04:05	15:03
04:07	15:01
13:02	15:01
03:01	15:03
03:01	15:03
15:01	15:03
04:01	07:01
08:02	14:54
03:02	04:06
07:01	11:01
03:01	15:01
07:01	13:01
08:01	09:01
14:54	15:03
03:01	03:01
01:02	13:02
01:01	15:01
04:04	07:01
09:01	14:54
01:02	07:01
07:01	15:01
07:01	13:01
04:01	13:01
08:04	13:02
03:01	09:01
03:02	13:03
07:01	09:01
08:04	13:03
07:01	13:01
12:01	13:01
07:01	15:01
13:02	15:03
04:01	11:01
04:01	07:01
01:01	13:01
07:01	11:01
04:07	14:54
11:01	14:54
13:04	15:03
11:01	13:02
04:05	13:02
01:01	13:01
07:01	12:01
01:02	09:01
09:01	15:01
11:04	15:01
03:02	13:01
08:01	13:01
01:01	15:01
03:01	03:01
11:01	13:01
04:01	11:01
04:01	13:02
01:01	11:01
01:02	07:01
03:02	11:01
12:01	15:03
03:02	11:01
01:02	07:01
13:03	14:54
01:02	15:03
09:01	12:01
13:02	15:03
08:04	08:04
03:01	11:01
03:01	15:01
03:01	07:01
04:04	11:01
03:01	04:01
03:01	07:01
04:01	04:04
03:01	04:01
04:04	15:01
13:01	13:03
10:01	13:01
12:01	13:02
03:02	11:01
04:01	04:03
08:04	15:03
08:04	09:01
07:01	08:04
